,1_P1-100-3,1_P1-20-3,1_P1-200-3,1_P1-300-3,1_P1-40-3,1_P1-60-3,2_P1-100-3,2_P1-20-3,2_P1-200-3,2_P1-300-3,2_P1-40-3,2_P1-60-3,3_P1-20-3,3_P1-200-3,3_P1-300-3,3_P1-40-3,3_P1-60-3,4_P1-90-3,4_P1-20-3,4_P1-100-3,4_P1-200-3,4_P1-40-3,4_P1-60-3,4_P1-300-3,5_P1-20-3,3_P1-90-3,5_P1-100-3,5_P1-200-3,5_P1-300-3,5_P1-40-3,5_P1-90-3,6_P1-100-3,6_P1-20-3,6_P1-200-3,6_P1-40-3,6_P1-60-3,6_P1-300-3,7_P1-20-3,7_P1-40-3,7_P1-60-3,10_P1-20-3,10_P1-40-3,7_P1-105-3,7_P1-200-3,7_P1-300-3,8_P1-100-3,8_P1-115-3,8_P1-20-3,8_P1-200-3,8_P1-250-3,8_P1-40-3,8_P1-60-3,9_P1-100-3,9_P1-120-3,9_P1-20-3,9_P1-200-3,9_P1-40-3,9_P1-500-3,9_P1-60-3,10_P1-100-3,10_P1-120-3,10_P1-200-3,10_P1-500-3,10_P1-60-3,11_P1-100-3,11_P1-20-3,11_P1-200-3,11_P1-40-3,11_P1-500-3,11_P1-60-3,11_P1-70-3,12_P1-100-3,12_P1-20-3,12_P1-200-3,12_P1-40-3,12_P1-500-3,12_P1-60-3,13_P1-100-3,13_P1-20-3,13_P1-200-3,13_P1-40-3,13_P1-500-3,13_P1-60-3,14_P1-100-3,14_P1-20-3,14_P1-200-3,14_P1-40-3,14_P1-500-3,14_P1-60-3,15_P1-100-3,15_P1-20-3,15_P1-200-3,15_P1-40-3,15_P1-500-3,15_P1-60-3,16_P1-20-3,16_P1-100-3,16_P1-200-3,16_P1-40-3,16_P1-500-3,16_P1-60-3,17_P1-100-3,17_P1-20-3,17_P1-40-3,17_P1-500-3,17_P1-60-3,18_P1-100-3,18_P1-20-3,18_P1-200-3,18_P1-40-3,18_P1-500-3,18_P1-60-3,19_P1-100-3,19_P1-20-3,19_P1-200-3,19_P1-40-3,19_P1-500-3,19_P1-60-3,12_P2-100-3,12_P2-20-3,12_P2-200-3,12_P2-300-3,12_P2-40-3,12_P2-60-3,15_P2-100-3,15_P2-20-3,15_P2-200-3,15_P2-300-3,15_P2-40-3,15_P2-60-3,17_P2-100-3,17_P2-20-3,17_P2-200-3,17_P2-300-3,17_P2-40-3,17_P2-60-3,6_P2-100-3,6_P2-20-3,6_P2-200-3,6_P2-300-3,6_P2-40-3,6_P2-60-3,8_P2-20-3,8_P2-200-3,8_P2-300-3,8_P2-40-3,8_P2-60-3,18_P2-100-3,18_P2-20-3,18_P2-200-3,18_P2-300-3,18_P2-40-3,18_P2-60-3,20_P2-100-3,20_P2-20-3,20_P2-200-3,20_P2-300-3,20_P2-40-3,20_P2-60-3
11_P1-20-3,1,1,0.89,1,0.71,0.46,0.83,0.99,1,1,0.83,1,0.86,1,0.8,1,1,1,0.64,1,1,0.99,0.73,0.95,0.97,0.98,0.96,0.96,0.99,0.99,0.9,0.88,0.98,0.96,0.92,1,0.25,0.99,0.87,0.95,-0.03,0.99,0.65,0.38,-0.86,0.04,0.75,-0.06,1,-0.73,1,-0.16,0.46,0.8,0.46,0.51,0.7,0.83,0.16,0.19,0.9,0.95,-0.32,0.88,0.39,0,-0.34,-1,0.62,-0.92,0.57,0.99,1,0.9,0.99,0.54,1,0.94,0.97,0.78,1,0.64,0.96,0.98,1,1,1,0.32,1,0.59,0.91,0.34,1,-0.79,0.99,1,0.97,0.97,0.97,0.95,1,0.92,0.99,1,0.16,0.22,0.28,1,0.96,0.99,0.85,0.79,0.24,1,0.94,1,-0.48,1,1,0.25,0.84,0.99,-0.35,0.89,0.94,1,0.99,0.99,0.99,1,1,1,0.99,0.91,1,1,0.15,1,1,0.92,0.98,1,0.91,1,1,0.43,-0.49,1,1,0.99,1,1,1,1,1,0.92,0.99,1,1
11_P1-200-3,0.95,1,0.46,0.97,1,1,1,1,0.97,0.96,1,1,1,0.95,0.83,1,1,1,0.99,1,0.73,1,0.93,0.94,0.99,1,1,0.96,0.47,0.98,0.98,0.92,1,0.5,1,1,0.77,0.27,0.97,0.95,0.72,0.89,0.86,0.72,-0.26,0.97,0.98,0.93,-0.98,-0.93,0.72,0.4,0.99,0.53,0.97,-0.64,0.91,-0.98,-0.84,-0.62,0.95,-0.94,-0.9,0.97,0.3,-0.34,0,0.96,-0.98,0.53,0.87,0.31,0.63,0.77,0.39,-0.94,0.98,0.84,0.95,0.62,0.97,0.19,0.88,-0.54,1,0.59,1,0.08,0.99,0.31,0.25,-0.55,1,-0.95,0.18,1,0.85,0.73,0.92,-0.15,1,0,-0.33,0.88,-0.83,-0.97,-0.84,0.99,0.83,0.74,-0.9,0.52,-0.75,0.93,0.79,0.96,-0.26,1,1,1,0.93,0.73,1,1,0.99,1,1,0.9,1,1,1,0.93,0.94,0.98,0.98,1,1,0.91,0.97,0.96,1,0.84,0.98,1,0.92,1,1,1,0.99,0.98,0.99,0.99,1,1,1,0.97,0.87,1,1
11_P1-40-3,1,1,0.99,1,0.98,0.51,0.96,1,1,1,1,1,0.99,1,0.97,1,1,1,0.73,1,1,0.99,0.88,0.99,1,0.99,0.94,0.99,0.99,1,0.94,0.92,0.98,0.98,0.83,1,0.63,1,0.97,1,0.94,0.99,0.85,0.95,0.44,0.83,0.86,0.75,1,0.47,0.99,0.75,0.9,0.98,0.92,0.94,0.85,0.96,0.87,0.99,0.97,1,0.7,0.97,0.52,-1,0.96,0,1,-0.31,0.65,1,0.9,0.93,0.82,1,0.87,0.77,0.9,0.97,0.98,0.94,0.96,0.99,1,1,1,0.75,1,0.36,0.9,0.89,0.99,0.86,0.99,1,0.94,0.99,0.68,0.98,1,0.99,0.98,0.98,0.86,0.46,0.79,1,0.99,0.97,0.99,0.73,0.45,0.99,0.99,0.98,0.31,1,1,-0.35,0.98,0.99,-0.53,0.51,0.92,0.94,1,1,0.94,0.99,1,1,1,1,0.99,1,0.22,0.79,1,0.99,0.76,0.92,0.28,1,1,-0.42,-0.79,1,1,1,1,1,1,1,1,0.98,1,0.99,1
11_P1-500-3,1,1,0.53,0.87,1,1,1,1,0.94,0.95,1,1,1,0.85,0.29,1,1,1,0.99,1,0.71,1,0.86,0.29,1,0.97,0.84,0.68,0.4,0.99,0.96,0.72,1,-0.4,1,1,0.19,0.55,0.99,0.99,0.83,0.99,0.64,-0.01,-0.96,0.97,1,0.95,-1,-1,0.98,0.61,0.99,0.81,0.97,-0.94,0.98,-0.94,-0.65,-0.13,0.97,-0.58,-0.99,0.99,0.67,0.62,-0.98,1,0,0.5,0.98,0.98,0.98,0.92,0.95,-1,1,0.64,0.98,0.01,1,-0.27,0.93,0.25,0.99,0.78,1,-0.94,1,-0.03,0.23,-0.87,1,-0.96,0.68,1,0.59,0.11,0.86,-0.2,1,-0.04,0.27,0.94,-0.78,-0.89,-0.82,1,0.29,0.76,-0.78,0.27,-0.47,0.96,0.35,0.97,-0.49,1,1,1,0.81,0.52,1,1,0.94,1,0.99,0.89,1,1,0.98,0.96,0.82,0.89,0.99,1,1,0.99,0.99,0.82,1,0.95,0.99,1,0.95,1,1,0.97,0.99,0.92,0.6,0.98,1,0.99,1,0.95,0.34,1,1
11_P1-60-3,0.74,0.98,0.72,1,0.99,0.87,0.74,1,0.99,1,0.99,1,0.99,0.98,0.75,0.99,0.96,0.77,0.86,0.97,0.94,0.99,0.54,0.84,0.91,0.75,0.54,0.79,0.43,0.91,0.78,0.54,0.89,0.66,0.86,0.87,0.55,0.9,0.88,0.86,0.83,0.9,-0.24,0.65,-0.43,0.61,0.29,0.74,0.7,-0.24,0.9,0.39,0.63,0.03,0.82,0.38,0.78,-0.14,-0.16,-0.13,0.02,0.74,-0.44,0.67,-0.28,-0.92,0.53,-0.31,0.5,0,-1,0.67,0.45,0.78,0.24,0.69,0.56,0.74,0.61,0.83,0.93,0.61,0.85,0.43,0.98,0.93,1,0.26,0.97,0.26,0.7,0.27,0.98,0.08,0.54,0.99,0.87,0.92,0.58,0.57,1,0.93,0.8,0.93,0.47,-0.07,0.33,0.97,0.95,0.9,0.6,0.67,0,0.97,0.96,0.92,0.14,1,0.98,0.89,0.9,0.8,0.82,0.56,0.88,0.97,1,0.94,0.97,0.99,1,0.99,0.99,0.98,0.99,1,-0.18,0.87,0.97,0.88,0.93,0.75,0.86,0.96,1,0.97,0.83,1,0.99,0.96,0.99,0.98,1,1,0.99,0.95,0.95,0.99,1
11_P1-70-3,0.94,1,0.96,1,1,0.98,0.8,1,1,1,1,1,1,1,0.97,1,1,0.93,0.97,0.99,1,1,0.87,0.99,1,0.9,0.91,0.99,0.93,1,0.98,0.9,0.99,0.98,0.92,0.99,0.89,1,0.99,1,0.98,1,0.2,0.97,0.14,0.95,0.64,0.96,0.99,0.31,1,0.82,0.95,0.82,0.98,0.91,0.98,0.76,0.64,0.88,0.51,1,0.42,0.99,-0.67,0.57,0.87,0.65,0.98,-1,0,0.85,0.88,0.79,0.71,0.99,0.86,0.76,0.98,0.98,0.99,0.96,0.99,0.96,1,1,1,0.71,1,0.73,0.96,0.83,1,0.75,0.99,1,0.99,1,0.91,0.95,1,1,0.99,0.99,0.9,0.43,0.81,1,1,0.99,0.98,0.91,0.59,1,1,0.99,0.44,1,1,1,0.99,0.98,0.97,0.8,0.98,1,1,1,1,1,1,1,1,1,1,1,0.21,0.99,1,0.99,1,0.99,0.99,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1
12_P1-100-3,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,0.67,1,1,1,1,1,1,0.99,0.23,1,1,1,1,0.26,1,0.98,1,1,1,0.94,1,0.93,0.92,1,1,1,0.57,1,-0.16,0.99,0.31,1,0.98,0.67,0.85,0,0.24,-1,0.47,0.98,0.36,-0.12,0.88,0.6,1,0.9,0.86,0.99,1,1,1,0.75,1,0.67,0.97,0.71,1,-0.04,1,1,1,1,0.96,0.99,1,0.96,0.97,1,0.57,-0.09,0.42,1,1,1,0.91,0.89,0.38,1,0.99,1,-0.32,1,1,1,0.88,1,0.99,0.75,0.73,1,0.99,1,0.99,1,1,1,1,0.98,0.99,1,0.99,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1
12_P1-20-3,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,0.93,1,1,1,0.97,1,1,1,1,1,1,1,0.99,0.97,1,0.99,0.99,1,0.77,1,1,1,0.98,1,0.98,0.97,0.28,0.98,0.99,0.97,1,-0.17,1,0.85,1,1,0.99,0.72,0.99,0.97,0.92,1,1,1,0.38,1,0.46,1,0.63,0.9,0.98,0.45,0.88,0.24,0,-0.49,-1,0.99,-1,-0.44,-0.95,0.42,0.24,0.84,-0.33,0.97,0.97,1,0.99,0.55,0.99,0.04,0.79,0.37,0.97,0.2,0.85,1,0.87,0.95,0.58,0.93,1,0.97,0.94,0.95,0.56,0.56,0.71,0.99,0.94,0.92,0.98,0.46,-0.11,0.98,0.93,0.97,-0.16,0.97,1,0.91,0.98,1,0.64,0.12,0.54,0.75,1,0.99,0.73,0.88,1,1,1,0.99,0.79,0.99,0.96,1,1,1,1,1,1,1,1,1,0.99,0.99,0.96,1,1,0.98,0.99,0.97,0.97,0.99,1,0.89,1
12_P1-200-3,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,0.94,1,1,0.98,1,0.99,1,1,0.8,1,1,1,0.96,1,0.97,0.99,0.21,1,0.99,0.99,0.96,-0.27,0.99,0.89,1,0.98,1,0.82,0.99,0.54,0.45,0.95,1,1,0.04,1,-0.24,0.9,0.77,0.93,0.92,0.78,0.79,-1,-0.49,0,-0.53,0.95,0.04,0.16,0.78,0.85,0.88,0.75,0.76,0.83,1,0.95,1,0.84,1,0.68,0.87,0.57,1,-0.05,0.89,1,0.99,0.97,0.95,0.82,1,0.92,0.81,0.99,0.29,-0.37,0.19,1,0.99,0.96,0.73,0.85,-0.25,1,0.97,0.99,-0.32,1,0.99,0.99,0.96,0.98,0.99,0.83,0.79,0.98,1,0.98,0.99,1,1,0.99,1,0.99,0.99,1,0.99,1,1,0.99,1,0.99,1,1,1,1,1,1,0.99,1,1,1,1,1,0.99,0.96,1,1,0.99
12_P1-40-3,1,1,0.97,1,1,1,0.99,1,1,1,1,1,1,1,0.94,1,1,1,0.81,1,1,1,0.94,0.99,1,1,0.99,0.98,0.98,1,0.97,0.94,0.99,0.96,0.97,1,0.59,1,1,1,0.87,1,0.95,0.9,0.11,0.94,0.98,0.89,1,-0.57,1,0.7,0.99,0.98,0.95,0.66,0.96,0.88,0.76,0.98,0.96,0.99,0.15,1,0.27,0.99,0.39,0.82,0.95,0.24,0.71,0.47,-1,-0.53,0,0.96,-1,-0.88,-0.8,-0.2,0.18,0.48,-0.24,0.86,0.89,0.97,0.96,-0.16,0.98,-0.22,0.38,-0.03,0.91,0.02,0.77,0.98,0.49,0.74,0.36,0.71,0.99,0.86,0.78,0.75,0.27,0.07,0.36,0.94,0.71,0.62,0.91,-0.26,-0.12,0.84,0.66,0.88,-0.54,0.92,1,0.91,0.93,0.99,0.51,0.09,0.52,0.71,0.98,0.98,0.71,0.84,1,0.97,0.98,0.93,0.63,0.95,0.91,1,1,0.99,1,0.99,1,1,1,1,0.97,0.94,0.83,0.98,1,0.92,0.95,0.92,0.94,0.96,0.99,0.85,0.98
12_P1-500-3,0.94,1,0.36,0.9,1,1,1,1,0.92,0.98,1,1,1,0.9,0.16,1,1,1,1,1,0.76,1,0.94,0.23,1,0.99,0.96,0.53,0.37,0.99,0.98,0.57,1,-0.66,1,1,-0.53,0.55,0.99,0.98,0.75,1,0.68,-0.28,-1,0.99,1,0.98,-1,-0.99,0.98,0.73,1,0.82,0.98,-0.82,0.99,-0.98,-0.69,0.02,0.99,-0.56,-0.99,1,0.82,0.54,-0.94,1,-1,0.69,0.99,0.98,0.99,0.95,0.96,0,1,0.79,0.99,0.06,1,-0.27,0.93,0.12,1,0.71,1,-0.84,1,0.2,0.51,-0.69,1,-1,0.7,1,0.79,0.27,0.93,0.07,1,0.14,0.36,0.97,-0.81,-0.89,-0.8,1,0.39,0.88,-0.83,0.45,-0.48,0.97,0.38,0.98,-0.95,1,1,1,0.02,0.51,1,1,0.82,1,0.95,0.85,1,1,1,0.96,0.82,0.57,0.99,1,1,0.99,1,0.53,1,0.83,0.99,1,0.96,1,1,0.98,0.99,0.92,0.78,0.99,0.99,1,1,0.72,0.49,1,1
12_P1-60-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.9,1,1,1,0.99,1,1,1,0.99,1,1,1,0.99,0.98,1,1,0.98,1,0.69,1,1,1,0.98,1,0.98,0.99,0.54,0.98,0.99,0.93,1,0.71,1,0.94,1,1,0.99,0.99,0.99,0.99,0.98,1,1,1,0.88,1,0.83,1,0.98,0.87,1,0.56,0.86,0.36,-1,0.04,-1,1,0,-0.65,-0.44,0.85,0.44,0.96,0.51,1,0.98,1,0.99,0.81,1,0.48,0.92,0.95,0.92,0.92,0.97,0.99,0.93,0.99,0.51,0.99,0.99,1,0.97,0.93,0.94,0.73,0.91,0.97,0.99,0.95,1,0.68,0.64,0.96,0.99,0.94,0.41,0.98,1,0.93,0.96,1,0.61,-0.01,0.61,0.75,0.99,1,0.73,0.87,1,0.99,1,0.99,0.82,0.99,0.9,1,1,1,1,1,1,1,1,1,0.97,0.99,0.96,1,1,0.97,0.99,0.97,0.96,0.97,1,0.88,0.99
13_P1-100-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.98,1,1,1,1,0.99,1,1,0.99,0.98,0.65,1,0.99,0.94,1,0.94,0.99,1,0.65,0.99,0.98,1,0.43,0.98,0.91,0.95,0.12,0.97,0.99,0.76,0.9,-0.41,1,0.71,0.99,0.99,0.96,0.93,0.88,0.5,0.55,0.9,0.91,0.98,0.29,0.99,0.9,0.94,0.84,0.77,0.64,0.74,0.76,-0.12,-0.44,0.16,-0.88,0.79,-0.65,0,-0.31,-0.71,-0.92,0.16,-0.84,0.09,0.7,0.55,0.67,0.02,0.46,-0.02,-0.22,0.02,0.67,-0.21,0.38,0.68,0.21,0.28,0.37,0.06,0.68,0.09,0.01,-0.12,-0.11,-0.74,-0.42,0.43,0.68,-0.11,0.35,-0.38,-0.22,0.05,0.58,0.42,-0.33,0.78,0.91,0.98,0.93,0.85,0.96,0.76,0.16,0.62,0.76,0.69,0.64,0.84,0.64,0.49,0.73,0.83,0.33,0.54,1,0.93,1,0.99,1,0.92,1,1,1,1,0.99,0.6,0.5,0.66,0.76,0.63,0.57,0.34,0.72,0.69,0.78,0.62,0.59
13_P1-20-3,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,0.98,1,1,1,0.99,0.99,1,1,1,0.99,0.94,1,0.99,0.98,1,0.97,1,1,0.77,1,1,1,0.96,1,0.98,0.95,0.09,0.98,1,0.97,1,0.26,1,0.86,1,1,0.99,0.94,0.99,0.81,0.66,1,1,1,0.2,1,0.93,0.97,0.95,0.9,0.98,0.61,0.98,0.88,-0.95,0.78,-0.8,0.99,-0.44,-0.31,0,0.68,-0.79,0.86,-0.73,0.8,0.8,0.99,0.96,0.41,0.85,-0.1,0.65,0.67,0.81,0.51,0.47,0.76,0.77,0.98,0.17,0.89,0.95,0.94,0.66,0.77,0.66,0.1,0.56,0.84,0.96,0.75,0.92,0.22,0.19,0.84,0.98,0.8,-0.02,0.85,1,0.9,0.97,0.98,0.8,0.62,0.35,0.19,0.99,0.99,0.2,0.53,0.99,0.89,1,0.98,0.55,0.78,0.99,0.99,1,0.99,1,0.99,1,1,1,1,1,0.98,0.84,0.99,1,0.82,0.9,0.92,0.54,0.96,1,0.45,0.85
13_P1-200-3,1,1,0.91,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,0.99,1,1,0.94,0.99,1,1,0.95,0.53,1,1,0.89,1,0.88,1,1,-0.02,0.96,0.99,0.97,0.57,0.98,0.97,0.83,-0.22,0.99,1,0.96,0.8,-0.85,0.95,0.71,1,0.93,0.99,0.67,0.93,-0.07,-0.37,0.05,0.99,0.95,-0.6,1,0.84,0.78,0.62,0.97,0.01,0.83,0.98,0.6,0.42,0.85,-0.2,0.06,0.85,-0.71,0.68,0,-0.04,-0.86,-0.91,-0.88,0.83,-0.66,0.69,-0.99,0.6,-0.59,-0.77,-0.5,0.9,-0.86,-0.06,0.93,0.14,-0.45,0.63,-0.74,0.95,-0.76,-0.45,0.51,-0.93,-0.87,-0.91,0.85,-0.44,-0.51,-0.92,-0.4,-0.58,0.66,-0.55,0.8,-0.79,0.93,1,1,0.62,0.93,0.99,0.99,0.12,0.93,0.74,0.78,0.92,0.89,0.82,0.28,0.56,0.64,0.81,0.81,1,0.98,1,0.89,1,0.84,1,1,1,1,1,0.83,0.85,0.78,0.64,0.92,0.77,0.74,0.89,0.5,0.62,0.94,0.39
13_P1-40-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.99,1,1,1,0.99,1,1,1,1,1,0.99,1,1,0.99,1,1,1,1,0.82,1,1,1,0.97,1,1,0.99,0.39,1,1,0.99,1,0.23,1,0.91,1,1,1,0.99,1,0.99,0.97,0.99,1,1,0.85,1,0.98,1,0.97,0.98,1,0.93,0.99,1,0.24,0.88,0.18,1,0.44,-0.92,-0.79,-0.04,0,0.48,-0.97,0.81,0.83,0.98,0.83,-0.41,0.96,-0.08,0.11,0.79,0.92,0.77,0.93,0.96,0.4,0.82,0.04,0.61,0.96,0.75,0.88,0.81,0.45,0.36,0.24,0.96,0.69,0.07,0.9,-0.31,0.58,0.86,0.68,0.86,-0.04,0.94,1,0.97,0.98,1,0.85,0.6,0.42,0.69,0.99,1,0.53,0.53,0.99,0.91,0.99,0.98,0.66,0.95,1,1,1,0.99,1,1,1,1,1,1,1,0.94,0.82,1,1,0.91,0.89,0.89,0.92,0.98,1,0.74,0.95
13_P1-500-3,1,0.98,0.22,0.99,1,1,0.99,1,0.43,0.99,1,1,0.99,0.96,-0.11,0.95,1,0.99,0.93,1,0.82,1,0.88,-0.07,0.75,0.99,0.88,-0.39,-0.64,0.65,0.92,0.17,1,0.54,0.98,0.99,-0.96,0.87,0.93,0.77,-0.39,0.89,0.8,0.06,-0.79,0.86,0.97,0.76,0.44,-0.95,0.87,0.27,0.92,0.86,0.86,0.09,0.77,-0.27,-0.54,-0.25,0.92,0.75,-0.64,0.95,0.6,0.64,0.19,0.94,-0.27,0.61,0.96,0.9,0.84,0.75,0.48,-0.27,0.96,0.16,0.86,-0.86,0.48,0,-0.57,-0.69,0.92,-0.99,0.76,-1,0.87,-0.49,-0.79,-0.7,0.98,-0.97,0.51,0.98,-0.17,-0.81,0.6,-0.92,0.99,-0.56,-0.16,0.55,-0.96,-0.81,-0.94,0.9,-0.88,-0.59,-0.99,-0.37,-0.59,0.63,-0.94,0.75,-0.99,0.96,0.99,1,-0.7,0.64,0.94,1,0.29,0.99,-0.05,0.41,0.99,0.94,0.85,0.32,0,-0.74,0.82,0.89,1,0.87,0.96,0.06,0.98,-0.07,0.98,1,0.97,1,1,0.64,0.84,-0.21,0.05,0.92,0.71,0.94,0.92,-0.7,0.26,1,-0.18
13_P1-60-3,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,0.79,1,1,1,0.99,1,1,1,1,0.94,1,1,1,0.96,0.82,1,1,0.91,1,0.98,1,1,0.03,1,1,1,0.74,1,0.99,0.91,-0.09,1,1,0.99,1,-0.38,1,0.85,1,1,0.99,0.94,0.98,0.81,0.41,0.88,1,1,0.14,1,0.91,0.96,0.88,0.96,0.93,0.85,0.99,0.86,-0.33,0.76,-0.24,0.93,0.51,-0.84,-0.73,-0.91,-0.97,-0.57,0,0.21,0.9,0.53,0.91,-0.9,0.89,-0.52,-0.35,0.4,0.92,-0.17,0.74,0.94,0.41,0.55,0.44,0.28,0.98,0.39,0.46,0.77,-0.36,-0.25,-0.35,0.94,0.21,0.03,0.06,-0.34,0.12,0.83,0.17,0.88,-0.83,0.94,1,0.97,0.47,0.98,0.86,0.63,-0.08,0.55,0.86,0.95,0.32,0.26,0.95,0.55,0.89,0.69,0.73,0.82,1,1,1,0.9,1,0.89,1,1,1,1,1,0.87,0.84,0.92,0.97,0.9,0.81,0.88,0.61,0.66,0.97,0.7,0.26
14_P1-100-3,0.99,1,0.68,0.94,1,1,1,1,0.99,1,1,1,1,0.99,0.69,1,1,1,0.98,1,0.99,1,0.93,0.92,1,1,0.98,0.93,0.89,1,0.96,0.89,0.98,0.43,1,1,0.45,0.97,0.99,1,0.78,0.99,0.91,0.6,-0.41,0.93,1,0.86,0.86,-0.86,0.97,0.5,0.98,0.9,0.9,-0.03,0.94,-0.02,0.23,-0.46,0.98,0.69,-0.65,1,0.67,0.98,-0.54,0.99,0.25,0.43,0.96,0.99,0.97,0.83,0.86,0.12,1,0.09,0.8,-0.88,0.81,-0.69,0.21,0,0.82,0.44,0.93,-1,0.95,-0.93,-0.8,-0.79,0.86,-0.87,-0.22,0.99,-0.56,-0.2,0.09,-0.98,0.98,-0.92,-0.01,0.51,-0.98,-0.82,-0.96,0.95,-0.69,-0.72,-0.93,-0.88,-0.89,0.61,-0.82,0.62,-0.94,0.79,1,1,0.81,0.9,0.98,0.99,0.69,0.99,0.95,0.85,0.94,0.96,0.98,0.79,0.71,0.72,0.69,0.96,1,0.99,0.99,0.92,0.99,0.95,1,1,1,1,1,0.8,0.89,0.86,0.87,0.95,0.93,0.94,1,0.85,0.84,0.99,0.97
14_P1-20-3,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,0.85,1,1,1,0.97,1,1,1,0.61,1,1,0.99,1,0.4,1,0.98,1,1,1,0.99,1,0.94,0.9,1,1,1,0.73,1,1,1,1,1,0.99,0.98,1,1,0.97,1,0.89,1,0.98,0.7,0.8,0.83,0.83,0.92,0.9,0.82,0,0.95,-0.95,0.08,-0.91,-0.58,-0.32,0.74,-0.99,0.67,-0.15,-0.98,-0.36,0.97,-0.97,0.87,-0.58,0.8,-0.56,-0.33,0.67,0.19,0.56,-0.4,0.82,0.13,0.94,-0.6,0.56,-0.33,0.96,-0.1,0.3,-0.83,1,1,0.99,0.99,0.98,1,0.59,0.84,0.99,0.99,0.82,0.9,0.87,0.78,0.99,0.97,0.04,0.26,1,1,1,1,1,1,1,1,1,1,1,0.86,0.62,0.99,1,0.6,0.65,0.93,0.97,0.97,1,0.93,0.97
14_P1-200-3,1,1,0.76,1,1,1,1,1,0.16,1,1,1,1,1,0.62,1,1,1,0.99,1,1,1,1,0.46,1,1,0.98,-0.54,-0.31,0.99,1,0.59,1,0.87,1,1,-0.91,1,1,1,0.41,1,0.98,0.52,-0.16,0.99,1,0.96,0.99,-0.72,1,0.84,1,1,0.99,0.53,0.98,0.74,0.62,0.93,1,0.98,0.1,1,0.93,1,0.59,1,0.78,0.93,1,1,1,0.95,0.97,0.71,1,0.55,0.99,-0.66,0.98,-0.99,0.53,0.44,0.95,0,0.96,-1,0.99,-0.67,-0.38,-0.76,0.96,-0.8,0.83,1,-0.05,-0.65,0.39,-0.23,1,0.39,0.67,0.81,-0.71,-0.25,-0.4,0.99,-0.84,0.25,0.05,-0.34,-0.32,0.86,-0.87,0.85,-0.92,0.97,1,1,-0.29,0.96,0.99,1,0.3,1,-0.54,0.62,0.98,0.96,1,0.85,0.74,-0.69,0.94,1,1,0.99,1,0.63,1,0.8,1,1,1,1,1,0.84,0.99,-0.62,0.73,1,0.97,0.98,1,-0.99,0.81,1,0.37
14_P1-40-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.99,1,1,1,1,0.38,1,1,1,0.95,1,1,1,0.54,1,1,0.99,1,0.5,1,0.99,1,1,1,1,1,0.99,0.95,1,1,1,0.86,1,1,1,1,1,1,1,1,1,0.99,1,0.96,1,0.99,0.67,0.96,0.69,0.83,0.76,0.91,0.93,-0.95,0.96,0,-0.43,-1,-0.92,-0.3,0.84,-0.87,0.63,-0.19,-0.73,-0.81,0.9,-0.99,0.87,-0.42,0.88,-0.03,0.05,0.56,0.31,0.59,0.2,0.55,0.09,0.94,-0.96,0.6,0.05,0.77,0.09,-0.36,0.29,1,1,0.86,1,1,1,0.54,0.97,0.98,1,0.94,0.86,0.98,0.91,0.98,0.89,0.55,0.85,1,1,1,0.99,1,1,1,1,1,1,1,0.84,0.85,0.99,1,0.9,0.79,0.97,0.99,0.9,1,0.99,0.98
